YEAR	SUBSET	QUESTION1P	QUESTION1N	QUESTION4P	QUESTION4N	QUESTION8P	QUESTION8N	QUESTION11P	QUESTION11N	QUESTION13P	QUESTION13N	QUESTION14P	QUESTION14N	QUESTION15P	QUESTION15N	QUESTION44P	QUESTION44N
2017	1	84.6744186	11.25581395	81.38372093	12.91860465	86.70930233	6.895348837	81.03488372	10.06976744	74.54651163	14.41860465	84.90697674	7.244186047	71.30232558	16.53488372	57.69767442	26.37209302
2017	2	82.02938476	13.28864402	78.44077135	14.99173554	84.86730003	8.167330677	79.42620943	10.75505205	73.6283701	14.77359069	82.99816233	8.073200613	68.86948529	18.25	54.13655848	28.44213105
2017	3	81.0525641	14.24647436	77.95253368	15.43938422	85.80648267	7.440949936	80.48332264	10.1725465	73.34262821	15.05512821	83.45667522	7.862323492	69.83194355	17.30885183	53.05386342	29.04969542
2017	4	83.39162562	12.19282196	79.64660331	14.04927842	86.07147887	7.252112676	80.07037298	10.28641802	74.43947924	14.07881773	83.95003519	7.488388459	70.84406899	16.54100669	56.63969036	26.48346235
2017	5	80.44415488	14.90655249	76.53370577	16.7113594	84.17430168	8.642085661	78.60089352	11.28592703	72.70912477	15.41378026	82.31582868	8.377281192	68.32166791	18.52047655	52.26805659	30.13216679
