YEAR	SUBSET	QUESTION1P	QUESTION1N	QUESTION4P	QUESTION4N	QUESTION8P	QUESTION8N	QUESTION11P	QUESTION11N	QUESTION13P	QUESTION13N	QUESTION14P	QUESTION14N	QUESTION15P	QUESTION15N	QUESTION44P	QUESTION44N
2014	Group	80.9418146	14.12163051	78.02762249	15.38211115	84.30154554	7.838868793	76.93293886	12.44378698	81.74013158	8.06875	94.71071663	1.881328074	89.40512989	3.530417626	61.37980927	21.76520881
2014	Organization 	79.97938144	15.06369661	77.2533137	15.88438881	82.96281296	8.919366716	75.54712813	13.30522828	80.28166421	8.839837997	94.14396171	2.063696613	88.69918999	3.80191458	60.58305709	22.39189687
2014	Results	81.37104278	13.72824237	78.28359056	15.05730822	84.02792281	8.058683314	77.16827414	12.07318734	82.0199773	7.881952327	94.73278112	1.871780325	89.41600454	3.454483541	63.07116105	20.52729543
